timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734422712472,915,02_01_Open Url,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-14,text,true,,4973,603,30,100,https://petstore.octoperf.com/actions/Catalog.action,915,0,687
1734422711176,238,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-14,,true,,3441,948,61,100,null,0,2055,0
1734422713231,238,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-14,text,true,,3441,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,238,0,0
1734422708949,475,03_03_ Key in User name and password in Login,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-5,,true,,5431,1797,8,100,null,0,4063,0
1734422713011,475,03_03_ Key in User name and password in Login,200,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-5,text,true,,5431,1797,8,100,https://petstore.octoperf.com/actions/Catalog.action,237,0,0
1734422713011,237,03_03_ Key in User name and password in Login-0,302,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-5,,true,,230,1028,8,100,https://petstore.octoperf.com/actions/Account.action,237,0,0
1734422713248,238,03_03_ Key in User name and password in Login-1,200,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-5,text,true,,5201,769,8,100,https://petstore.octoperf.com/actions/Catalog.action,238,0,0
1734422706448,919,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-28,,true,,4986,603,61,100,null,0,6162,690
1734422712610,919,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-28,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,918,0,690
1734422711275,239,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-52,,true,,3442,949,61,100,null,0,2021,0
1734422713296,239,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-52,text,true,,3442,949,61,100,https://petstore.octoperf.com/actions/Catalog.action,239,0,0
1734422708327,230,02_02_Click On Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-19,,true,,3666,656,30,100,null,0,5041,0
1734422713368,230,02_02_Click On Category,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-19,text,true,,3666,656,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=BIRDS,230,0,0
1734422711386,237,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-13,,true,,3441,948,61,100,null,0,2093,0
1734422713478,237,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-13,text,true,,3441,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,237,0,0
1734422711486,217,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-32,,true,,3441,948,61,100,null,0,2027,0
1734422713512,217,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-32,text,true,,3441,948,61,100,https://petstore.octoperf.com/actions/Catalog.action,217,0,0
1734422706767,917,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-27,,true,,4990,603,61,100,null,0,6183,688
1734422712950,917,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-27,text,true,,4990,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,917,0,688
1734422708594,231,02_03_Click on Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-24,,true,,4120,688,30,100,null,0,5076,0
1734422713669,231,02_03_Click on Product Id,200,,Scenario 2 - View Details - jp@gc - Ultimate Thread Group 2-24,text,true,,4120,688,30,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FL-DLH-02,231,0,0
1734422709494,455,"04_03_Enter User name and password, Click on Login",200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 4-Checkout -jp@gc - Ultimate Thread Group 4-1,,true,,5431,1797,1,100,null,0,4024,0
1734422713517,455,"04_03_Enter User name and password, Click on Login",200,,Scenario 4-Checkout -jp@gc - Ultimate Thread Group 4-1,text,true,,5431,1797,1,100,https://petstore.octoperf.com/actions/Catalog.action,226,0,0
1734422713517,226,"04_03_Enter User name and password, Click on Login-0",302,,Scenario 4-Checkout -jp@gc - Ultimate Thread Group 4-1,,true,,230,1028,1,100,https://petstore.octoperf.com/actions/Account.action,226,0,0
1734422713743,229,"04_03_Enter User name and password, Click on Login-1",200,,Scenario 4-Checkout -jp@gc - Ultimate Thread Group 4-1,text,true,,5201,769,1,100,https://petstore.octoperf.com/actions/Catalog.action,229,0,0
1734422711699,228,02_Search,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-51,,true,,3442,949,61,100,null,0,2080,0
1734422713779,228,02_Search,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-51,text,true,,3442,949,61,100,https://petstore.octoperf.com/actions/Catalog.action,228,0,0
1734422709787,227,03_04_ Click on Category,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-6,,true,,3858,655,8,100,null,0,4031,0
1734422713818,227,03_04_ Click on Category,200,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-6,text,true,,3858,655,8,100,https://petstore.octoperf.com/actions/Catalog.action?viewCategory=&categoryId=CATS,227,0,0
1734422706891,916,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-8,,true,,4986,603,61,100,null,0,6250,689
1734422713141,916,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-8,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,916,0,689
1734422709800,240,03_05_ Click on Product Id,200,"Number of samples in transaction : 1, number of failing samples : 0",scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-1,,true,,4022,687,8,100,null,0,4017,0
1734422713817,240,03_05_ Click on Product Id,200,,scenario 3 - Add to cart -jp@gc - Ultimate Thread Group 3-1,text,true,,4022,687,8,100,https://petstore.octoperf.com/actions/Catalog.action?viewProduct=&productId=FI-SW-02,240,0,0
1734422706973,960,01_Open URL,200,"Number of samples in transaction : 1, number of failing samples : 0",Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-46,,true,,4986,603,61,100,null,0,6246,722
1734422713219,960,01_Open URL,200,,Scenario 1 - Search-jp@gc - Ultimate Thread Group 1-46,text,true,,4986,603,61,100,https://petstore.octoperf.com/actions/Catalog.action,960,0,722
